month,행정동코드,성별,연령대,총인구,1인가구수,야간상주지 변경횟수 평균,주간상주지 변경횟수 평균,평균 출근 소요시간 평균,평균 근무시간 평균,소액결재 사용횟수 평균,소액결재 사용금액 평균,최근 3개월 내 요금 연체 비율,카카오톡 비사용 인구수,SNS 사용횟수,평균 통화량,평균 문자량,평균 통화대상자 수,평균 문자대상자 수,데이터 사용량,평일 총 이동 횟수,휴일 총 이동 횟수 평균,집 추정 위치 평일 총 체류시간,집 추정 위치 휴일 총 체류시간,평일 총 이동 거리 합계,휴일 총 이동 거리 합계,지하철이동일수 합계,게임 서비스 사용일수,금융 서비스 사용일수,쇼핑 서비스 사용일수,동영상/방송 서비스 사용일수,유튜브 사용일수,넷플릭스 사용일수,배달 서비스 사용일수,배달_브랜드 서비스 사용일수,배달_식재료 서비스 사용일수
01,1114000000,0,50,10810,1872,53.379999999999995,74.77000000000001,2198.21,16503.489999999998,68.19,168136.37,256.37,678.25,-0.68,1914.65,379.74,588.6400000000001,173.89999999999998,120.55,618.55,276.84000000000003,18875314.15,5148688.62,23823.73,13790.51,303.03,1581.03,2807.31,3780.89,954.4300000000001,-3.24,-14.39,387.75,82.96000000000001,33.4
01,1114000000,0,60,6946,1506,51.379999999999995,73.12,2164.92,16141.64,51.26,146156.86,223.25,428.48,-1.35,1581.19,408.78,521.3100000000001,147.68,72.07,560.11,260.29,19735174.77,5440517.6899999995,19781.03,12145.33,290.82,1324.5,1676.28,2360.35,709.71,-3.91,-17.82,294.54999999999995,50.57,21.71
01,1114000000,1,20,10127,3733,67.89,92.84,1966.3200000000002,16377.83,69.25,203198.8,247.99,103.14999999999999,2.6900000000000004,2199.34,344.88,245.62,130.34,264.22,614.5999999999999,264.06,17869239.77,4963345.1,17024.43,10905.59,320.34000000000003,1279.49,3509.54,5040.58,1132.21,4.01,-3.79,559.3299999999999,78.80000000000001,41.75
01,1114000000,1,30,10875,3102,58.07,80.44999999999999,1834.81,16473.1,71.37,183484.59,232.59,237.48,2.63,1984.39,303.65,368.64,165.79000000000002,220.4,601.13,259.74,18476767.28,5360359.7,16484.59,11242.56,295.96000000000004,1338.0900000000001,4117.04,6496.65,1270.75,0.15999999999999992,-5.54,568.9200000000001,81.27000000000001,48.42999999999999
01,1114000000,1,40,10611,2284,51.379999999999995,77.43,1929.9,15894.66,74.21,205129.11,224.10999999999999,423.01,-0.88,2221.79,390.71000000000004,427.61,180.89999999999998,133.37,550.1700000000001,238.65,20072473.549999997,5857967.92,15582.81,10316.75,263.87,1371.72,3546.4399999999996,6016.13,1073.84,-4.08,-9.99,471.65999999999997,82.83,45.09
01,1114000000,1,50,11419,1808,50.22,76.80000000000001,1981.85,15994.25,72.19,186746.69,220.03,513.55,-2.52,2248.8,423.78999999999996,464.89,172.73000000000002,69.64,540.1,240.75,20646930.8,5986163.66,15275.55,10856.150000000001,257.76,1285.45,2523.93,4247.6900000000005,761.3,-5.91,-14.24,339.9,70.47,38.41
01,1114000000,1,60,7861,1687,49.510000000000005,75.08,2023.94,15354.54,46.739999999999995,152313.41,156.37,419.08000000000004,-2.5100000000000002,2117.5600000000004,331.22,438.3,135.05,46.239999999999995,471.64,225.74,22058347.79,6212734.75,12955.01,10058.49,237.49,1224.04,1499.72,2519.39,544.62,-5.43,-17.6,344.15999999999997,40.29,36.739999999999995
01,1117000000,0,20,15447,4568,72.56,114.72,2156.25,16829.190000000002,75.3,232639.21000000002,365.79,169.61,4.37,2356.65,334.65999999999997,326.57,130.98000000000002,424.31,652.4200000000001,285.31,19470421.259999998,5307486.63,20436.92,10507.86,357.84000000000003,2416.76,3851.88,4795.16,1377.77,8.73,-5.09,603.9300000000001,88.04,36.74
01,1117000000,0,30,20047,6231,60.05,84.11,1937.13,17542.99,75.46000000000001,204226.94,328.53,602.11,5.71,2478.9300000000003,358.52,558.27,194.83999999999997,339.38,766.3,323.61,18118020.68,5037975.68,25283.57,13942.82,400.23,2094.0699999999997,4853.18,6126.52,1490.6,4.96,-5.35,646.0799999999999,91.66999999999999,48.42999999999999
01,1117000000,0,40,19683,3651,53.86,75.6,2123.76,17478.47,82.02000000000001,182991.04,274.42,1156.78,2.41,2463.63,381.11,613.51,197.78,235.98,774.5999999999999,311.07,18543381.72,5229490.890000001,28091.29,14241.16,381.28,2058.79,4511.1900000000005,6194.24,1405.7199999999998,0.77,-9.07,528.76,92.93,50.099999999999994
01,1117000000,0,50,17204,2295,51.65,71.87,2197.31,16822.1,71.19,173784.59999999998,294.15999999999997,966.21,0.16,2183.81,412.78,622.3900000000001,191.87,129.66,767.5699999999999,317.37,18912768.450000003,5267612.26,29453.45,15659.099999999999,377.84,1715.65,3290.8900000000003,4488.55,1083.36,-1.94,-14.280000000000001,404.09000000000003,93.0,35.07
01,1117000000,0,60,10688,1780,49.150000000000006,72.0,2211.98,15918.720000000001,63.01,147091.22999999998,224.81,579.02,-1.29,1805.96,401.0,557.06,167.86,71.11,681.7,299.01,20772550.38,5756288.67,25290.239999999998,14003.0,348.84000000000003,1405.55,1909.39,2721.0299999999997,790.01,-3.46,-18.71,266.85,65.58,25.049999999999997
01,1117000000,1,20,16757,5627,64.28,97.39,1978.69,16897.83,78.43,221227.74,296.87,98.82,2.36,2230.63,371.63,258.74,135.58,281.39,690.0,294.51,19490444.7,5414751.84,19165.25,11268.8,375.78,1313.33,3634.06,5214.610000000001,1169.63,4.58,-3.79,565.16,77.09,50.099999999999994
01,1117000000,1,30,19908,5693,56.85,82.66,1828.8899999999999,17047.77,78.47,204130.69,328.65,333.81,2.62,2099.34,338.13,400.6,181.55,225.27,677.54,294.28999999999996,19943122.990000002,5525086.17,18588.17,12164.95,364.72,1378.08,4322.54,6855.299999999999,1334.46,1.38,-5.300000000000001,581.8199999999999,81.00999999999999,51.769999999999996
01,1117000000,1,40,19205,3353,49.64,75.16,1849.58,16321.15,77.68,199372.04,278.23,575.4000000000001,-0.45000000000000007,2527.59,412.88,460.98,197.16,144.92000000000002,652.37,271.18,21474421.0,6018611.75,16904.73,11100.19,336.41999999999996,1532.4099999999999,3910.2999999999997,6799.46,1177.08,-1.78,-9.33,507.12,88.48,51.769999999999996
01,1117000000,1,50,18275,2434,47.95,73.31,1897.8000000000002,16022.029999999999,76.65,195441.02000000002,227.54,541.34,-2.22,2518.52,448.22,479.39,178.45999999999998,71.63,626.96,268.83,21880090.12,6147788.08,17402.87,11347.25,318.11,1351.02,2785.71,4897.43,801.71,-4.09,-14.45,371.6,81.46000000000001,50.099999999999994
